Business Manager;Team Lead;Agent;Brand;Contacts;Leads;Conversions;Sales;Closings;Gross Sales;Gross Effectiveness;QA Points
Nomsa Dlamini;Sipho Khumalo;Thandiwe Mokoena;Budget Insurance;412;168;40,8;134;79,8;R 1 072 000,00;32,5;0
Nomsa Dlamini;Sipho Khumalo;Riaan van der Merwe;Budget Insurance;388;151;38,9;121;80,1;R 968 000,00;31,2;1
Nomsa Dlamini;Sipho Khumalo;Lerato Nkosi;Budget Insurance;455;201;44,2;169;84,1;R 1 352 000,00;37,1;0
Nomsa Dlamini;Sipho Khumalo;Ahmed Patel;Budget Insurance;301;110;36,5;82;74,5;R 656 000,00;27,2;2
Nomsa Dlamini;Sipho Khumalo;Chantelle Adams;Budget Insurance;398;170;42,7;139;81,8;R 1 112 000,00;34,9;0
Nomsa Dlamini;Bongani Zulu;Kagiso Molefe;Budget Insurance;421;179;42,5;142;79,3;R 1 136 000,00;33,7;0
Nomsa Dlamini;Bongani Zulu;Michelle du Toit;Budget Insurance;367;142;38,7;110;77,5;R 880 000,00;30,0;0
Nomsa Dlamini;Bongani Zulu;Sibusiso Mahlangu;Budget Insurance;490;223;45,5;196;87,9;R 1 568 000,00;40,0;0
Nomsa Dlamini;Bongani Zulu;Fatima Ismail;Budget Insurance;344;128;37,2;96;75,0;R 768 000,00;27,9;3
Nomsa Dlamini;Bongani Zulu;Pieter Botha;Budget Insurance;409;172;42,1;133;77,3;R 1 064 000,00;32,5;0
Nomsa Dlamini;Bongani Zulu;Zanele Mthembu;Budget Insurance;278;96;34,5;70;72,9;R 560 000,00;25,2;1
Nomsa Dlamini;Sipho Khumalo;Johan Pretorius;Budget Insurance;436;191;43,8;152;79,6;R 1 216 000,00;34,9;0
Themba Sithole;Anele Jacobs;Refilwe Sekhukhune;First for Women;356;158;44,4;131;82,9;R 1 048 000,00;36,8;0
Themba Sithole;Anele Jacobs;Karen Nel;First for Women;312;131;42,0;104;79,4;R 832 000,00;33,3;1
Themba Sithole;Anele Jacobs;Naledi Rampho;First for Women;389;181;46,5;155;85,6;R 1 240 000,00;39,8;0
Themba Sithole;Anele Jacobs;Shireen Naidoo;First for Women;298;118;39,6;92;78,0;R 736 000,00;30,9;2
Themba Sithole;Anele Jacobs;Palesa Moloi;First for Women;341;149;43,7;121;81,2;R 968 000,00;35,5;0
Themba Sithole;Mandy Fourie;Yolanda Steyn;First for Women;367;166;45,2;138;83,1;R 1 104 000,00;37,6;0
Themba Sithole;Mandy Fourie;Busisiwe Ngcobo;First for Women;284;108;38,0;83;76,9;R 664 000,00;29,2;0
Themba Sithole;Mandy Fourie;Anika Groenewald;First for Women;332;142;42,8;115;81,0;R 920 000,00;34,6;0
Themba Sithole;Mandy Fourie;Precious Baloyi;First for Women;405;192;47,4;166;86,5;R 1 328 000,00;41,0;0
Themba Sithole;Mandy Fourie;Cindy Wessels;First for Women;259;92;35,5;68;73,9;R 544 000,00;26,3;4
Gerhard Steenkamp;Vusi Ndlovu;Tebogo Maluleke;Auto and General;372;148;39,8;119;80,4;R 952 000,00;32,0;0
Gerhard Steenkamp;Vusi Ndlovu;Ruan Coetzee;Auto and General;418;177;42,3;145;81,9;R 1 160 000,00;34,7;0
Gerhard Steenkamp;Vusi Ndlovu;Ntombi Zwane;Auto and General;344;131;38,1;102;77,9;R 816 000,00;29,7;1
Gerhard Steenkamp;Vusi Ndlovu;Wayne Fisher;Auto and General;396;164;41,4;131;79,9;R 1 048 000,00;33,1;0
Gerhard Steenkamp;Vusi Ndlovu;Mpho Selepe;Auto and General;289;101;34,9;74;73,3;R 592 000,00;25,6;2
Gerhard Steenkamp;Elmarie Botha;Jaco Venter;Auto and General;441;196;44,4;163;83,2;R 1 304 000,00;37,0;0
Gerhard Steenkamp;Elmarie Botha;Nomvula Radebe;Auto and General;358;143;39,9;114;79,7;R 912 000,00;31,8;0
Gerhard Steenkamp;Elmarie Botha;Deon Marais;Auto and General;327;122;37,3;95;77,9;R 760 000,00;29,1;3
Gerhard Steenkamp;Elmarie Botha;Asanda Mbeki;Auto and General;383;159;41,5;127;79,9;R 1 016 000,00;33,2;0
Gerhard Steenkamp;Elmarie Botha;Charl Oosthuizen;Auto and General;311;114;36,7;88;77,2;R 704 000,00;28,3;0
Lindiwe Mabaso;Craig Peterson;Sizwe Mgcina;Dial Direct;365;144;39,5;116;80,6;R 928 000,00;31,8;0
Lindiwe Mabaso;Craig Peterson;Ilse van Wyk;Dial Direct;402;171;42,5;138;80,7;R 1 104 000,00;34,3;0
Lindiwe Mabaso;Craig Peterson;Katlego Mashaba;Dial Direct;318;119;37,4;91;76,5;R 728 000,00;28,6;1
Lindiwe Mabaso;Craig Peterson;Bianca Roberts;Dial Direct;347;136;39,2;108;79,4;R 864 000,00;31,1;0
Lindiwe Mabaso;Craig Peterson;Oscar Mabunda;Dial Direct;295;104;35,3;78;75,0;R 624 000,00;26,4;2
Lindiwe Mabaso;Craig Peterson;Hesti Kruger;Dial Direct;381;157;41,2;128;81,5;R 1 024 000,00;33,6;0
